x,y,vessel_count
628195.4331893444,3424855.905745316,27
628195.4331893444,3424930.905745316,10
628195.4331893444,3425005.905745316,7
628195.4331893444,3425080.905745316,1
628195.4331893444,3425155.905745316,1
628195.4331893444,3425230.905745316,3
628195.4331893444,3427180.905745316,1
628195.4331893444,3427330.905745316,2
628195.4331893444,3427405.905745316,8
628195.4331893444,3427480.905745316,15
628195.4331893444,3427555.905745316,17
628195.4331893444,3427630.905745316,18
628195.4331893444,3427705.905745316,13
628195.4331893444,3427780.905745316,1
628195.4331893444,3427855.905745316,2
628195.4331893444,3429055.905745316,1
628195.4331893444,3429130.905745316,10
628195.4331893444,3429205.905745316,39
628195.4331893444,3429280.905745316,117
628195.4331893444,3429355.905745316,218
628195.4331893444,3429430.905745316,141
