file,flipped_at
LM_15_CVB_20170422_CS_MB_59425_59475,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170423_CS_MB_59380_59425,2026-09-21T21:48:37.658649+00:00
LM_14_VBO_20170426_CS,2026-09-21T21:48:37.658649+00:00
LM_14_VBO_20170502_CS,2026-09-21T21:48:37.658649+00:00
LM_14_VBO_20170503_CS,2026-09-21T21:48:37.658649+00:00
LM_14_VBO_20170504_CS,2026-09-21T21:48:37.658649+00:00
LM_14_VBO_20170505_CS,2026-09-21T21:48:37.658649+00:00
LM_13_OZE_20170508_CS,2026-09-21T21:48:37.658649+00:00
LM_13_OZE_20170509_CS,2026-09-21T21:48:37.658649+00:00
LM_13_OZE_20170510_CS,2026-09-21T21:48:37.658649+00:00
LM_13_OZE_20170511_CS,2026-09-21T21:48:37.658649+00:00
LM_12_EYB_20170514_CS,2026-09-21T21:48:37.658649+00:00
LM_12_EYB_20170515_CS,2026-09-21T21:48:37.658649+00:00
LM_12_EYB_20170516_CS,2026-09-21T21:48:37.658649+00:00
LM_12_EYB_20170517_CS,2026-09-21T21:48:37.658649+00:00
LM_12_EYB_20170518_CS,2026-09-21T21:48:37.658649+00:00
LM_11_YBS_20170531_CS,2026-09-21T21:48:37.658649+00:00
LM_11_YBS_20170601_CS,2026-09-21T21:48:37.658649+00:00
